tool_type,diameter_mm,operation,material,status,lut_observation_id,group,detail
BullNose,6.0000,RampFinish,plywood_hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,RadialFinish,softwood,refused,,G3,family (bull finish)
BullNose,6.0000,RadialFinish,hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,RadialFinish,mdf,refused,,G3,family (bull finish)
BullNose,6.0000,RadialFinish,plywood_hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,HorizontalFinish,softwood,refused,,G3,family (bull finish)
BullNose,6.0000,HorizontalFinish,hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,HorizontalFinish,mdf,refused,,G3,family (bull finish)
BullNose,6.0000,HorizontalFinish,plywood_hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,ProjectCurve,softwood,refused,,G3,family (bull finish)
BullNose,6.0000,ProjectCurve,hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,ProjectCurve,mdf,refused,,G3,family (bull finish)
BullNose,6.0000,ProjectCurve,plywood_hardwood,refused,,G3,family (bull finish)
BullNose,6.0000,AlignmentPinDrill,softwood,refused,,G6,drill
BullNose,6.0000,AlignmentPinDrill,hardwood,refused,,G6,drill
BullNose,6.0000,AlignmentPinDrill,mdf,refused,,G6,drill
BullNose,6.0000,AlignmentPinDrill,plywood_hardwood,refused,,G6,drill
VBit,6.3500,Face,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Face,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Pocket,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Pocket,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Profile,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Profile,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Adaptive,softwood,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Adaptive,hardwood,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Adaptive,mdf,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Adaptive,plywood_hardwood,refused,,G3,family (V-bit adaptive)
VBit,6.3500,VCarve,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G1,extrapolated d_ratio=0.50 h_ratio=0.83 row_mat=softwood
VBit,6.3500,VCarve,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G4,bandless printed row
VBit,6.3500,VCarve,hardwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,VCarve,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,VCarve,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Rest,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Rest,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Inlay,softwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G2h,extrapolated d_ratio=1.00 h_ratio=2.15 row_mat=hardwood
VBit,6.3500,Inlay,softwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,Inlay,hardwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,Inlay,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Inlay,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Zigzag,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Zigzag,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Trace,softwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G2h,extrapolated d_ratio=1.00 h_ratio=2.15 row_mat=hardwood
VBit,6.3500,Trace,softwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,Trace,hardwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,Trace,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Trace,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Drill,softwood,refused,,G6,drill
VBit,6.3500,Drill,hardwood,refused,,G6,drill
VBit,6.3500,Drill,mdf,refused,,G6,drill
VBit,6.3500,Drill,plywood_hardwood,refused,,G6,drill
VBit,6.3500,Chamfer,softwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G2h,extrapolated d_ratio=1.00 h_ratio=2.15 row_mat=hardwood
VBit,6.3500,Chamfer,softwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,Chamfer,hardwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,6.3500,Chamfer,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Chamfer,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,DropCutter,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,DropCutter,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,DropCutter,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,DropCutter,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Adaptive3d,softwood,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Adaptive3d,hardwood,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Adaptive3d,mdf,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Adaptive3d,plywood_hardwood,refused,,G3,family (V-bit adaptive)
VBit,6.3500,Waterline,softwood,refused,,G3,family (V-bit 3D finish)
VBit,6.3500,Waterline,hardwood,refused,,G3,family (V-bit 3D finish)
VBit,6.3500,Waterline,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,Waterline,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,SteepShallow,softwood,refused,,G3,family (V-bit 3D finish)
VBit,6.3500,SteepShallow,hardwood,refused,,G3,family (V-bit 3D finish)
VBit,6.3500,SteepShallow,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,SteepShallow,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,RampFinish,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,RampFinish,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,RampFinish,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,RampFinish,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,RadialFinish,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,RadialFinish,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,RadialFinish,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,RadialFinish,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,HorizontalFinish,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,HorizontalFinish,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,6.3500,HorizontalFinish,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,HorizontalFinish,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,ProjectCurve,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,ProjectCurve,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,6.3500,AlignmentPinDrill,softwood,refused,,G6,drill
VBit,6.3500,AlignmentPinDrill,hardwood,refused,,G6,drill
VBit,6.3500,AlignmentPinDrill,mdf,refused,,G6,drill
VBit,6.3500,AlignmentPinDrill,plywood_hardwood,refused,,G6,drill
VBit,12.7000,Face,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Face,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Pocket,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Pocket,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Profile,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Profile,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Adaptive,softwood,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Adaptive,hardwood,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Adaptive,mdf,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Adaptive,plywood_hardwood,refused,,G3,family (V-bit adaptive)
VBit,12.7000,VCarve,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G2h,extrapolated d_ratio=1.00 h_ratio=0.83 row_mat=softwood
VBit,12.7000,VCarve,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,VCarve,hardwood,ok,whiteside-1540-vgroove-60deg-quarter-rpm,G5,"RPM-only V-bit anchor, chipload from formula"
VBit,12.7000,VCarve,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,VCarve,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Rest,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Rest,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Inlay,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,Inlay,hardwood,ok,amana-vgroove-hardwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,Inlay,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Inlay,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Zigzag,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Zigzag,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Trace,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,Trace,hardwood,ok,amana-vgroove-hardwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,Trace,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Trace,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Drill,softwood,refused,,G6,drill
VBit,12.7000,Drill,hardwood,refused,,G6,drill
VBit,12.7000,Drill,mdf,refused,,G6,drill
VBit,12.7000,Drill,plywood_hardwood,refused,,G6,drill
VBit,12.7000,Chamfer,softwood,ok,amana-vgroove-softwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,Chamfer,hardwood,ok,amana-vgroove-hardwood-trace-60deg-2f,G4,bandless printed row
VBit,12.7000,Chamfer,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Chamfer,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,DropCutter,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,DropCutter,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,DropCutter,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,DropCutter,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Adaptive3d,softwood,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Adaptive3d,hardwood,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Adaptive3d,mdf,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Adaptive3d,plywood_hardwood,refused,,G3,family (V-bit adaptive)
VBit,12.7000,Waterline,softwood,refused,,G3,family (V-bit 3D finish)
VBit,12.7000,Waterline,hardwood,refused,,G3,family (V-bit 3D finish)
VBit,12.7000,Waterline,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,Waterline,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,SteepShallow,softwood,refused,,G3,family (V-bit 3D finish)
VBit,12.7000,SteepShallow,hardwood,refused,,G3,family (V-bit 3D finish)
VBit,12.7000,SteepShallow,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,SteepShallow,plywood_hardwood,refused,,G2,"category (V-bit, no MDF/ply row)"
VBit,12.7000,RampFinish,softwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,RampFinish,hardwood,refused,,G5,engaged geometry (V-bit width)
VBit,12.7000,RampFinish,mdf,refused,,G2,"category (V-bit, no MDF/ply row)"
