# t_epoch,vmrss_kb,vmsize_kb,vmswap_kb,mem_available_kb,threads
1786142430.161,2187832,7673796,0,22903816,71
1786142430.664,2187832,7673796,0,22911632,71
1786142431.166,2187832,7673796,0,22913820,71
1786142431.666,2187832,7673796,0,22919492,71
1786142432.167,2187832,7673796,0,22920176,71
1786142432.667,2187896,7673796,0,22925068,71
1786142433.176,2187896,7673796,0,22932332,71
1786142433.676,2187896,7673796,0,22935972,71
1786142434.176,2187896,7673796,0,22935972,71
1786142434.680,2187896,7673796,0,22937840,71
1786142435.181,2187896,7673796,0,22909992,71
1786142435.682,2187896,7673796,0,22898772,71
1786142436.182,2187960,7673796,0,22899176,71
1786142436.683,2187960,7673796,0,22899624,71
1786142437.185,2187960,7673796,0,22899084,71
1786142437.686,2187960,7673796,0,22877044,71
1786142438.186,2187960,7673796,0,22875428,71
1786142438.687,2187960,7673796,0,22878540,71
1786142439.190,2188024,7673796,0,22878916,71
1786142439.691,2188024,7673796,0,22890252,71
1786142440.194,2188024,7673796,0,22875708,71
1786142440.695,2188024,7673796,0,22861904,71
1786142441.195,2188024,7673796,0,22860376,71
1786142441.696,2188024,7673796,0,22863100,71
1786142442.196,2188024,7673796,0,22882776,71
1786142442.697,2188088,7673796,0,22882548,71
1786142443.198,2188088,7673796,0,22880932,71
1786142443.699,2188088,7673796,0,22889352,71
1786142444.201,2188088,7673796,0,22889352,71
1786142444.702,2188088,7673796,0,22895524,71
1786142445.203,2188088,7673796,0,22874112,71
1786142445.703,2188088,7673796,0,22875840,71
1786142446.204,2188152,7673796,0,22876140,71
1786142446.712,2188152,7673796,0,22879824,71
1786142447.213,2188152,7673796,0,22879824,71
1786142447.714,2188152,7673796,0,22878268,71
1786142448.215,2188152,7673796,0,22878672,71
1786142448.716,2188152,7673796,0,22861184,71
1786142449.218,2188152,7673796,0,22860916,71
1786142449.719,2188216,7673796,0,22861724,71
1786142450.220,2188216,7673796,0,22862132,71
1786142450.720,2188216,7673796,0,22857504,71
1786142451.222,2188216,7673796,0,22857100,71
1786142451.723,2188216,7673796,0,22854148,71
1786142452.223,2188216,7673796,0,22867480,71
1786142452.724,2188280,7673796,0,22877356,71
1786142453.225,2188280,7673796,0,22877760,71
1786142453.727,2188280,7673796,0,22885760,71
1786142454.228,2188280,7673796,0,22885948,71
1786142454.731,2188280,7673796,0,22888264,71
1786142455.232,2188280,7673796,0,22871700,71
1786142455.732,2188280,7673796,0,22875948,71
1786142456.235,2188344,7673796,0,22878200,71
1786142456.735,2188344,7673796,0,22903740,71
1786142457.236,2188344,7673796,0,22903740,71
1786142457.738,2188344,7673796,0,22903984,71
1786142458.239,2188344,7673796,0,22908024,71
1786142458.739,2188344,7673796,0,22911572,71
1786142459.240,2188408,7673796,0,22911820,71
1786142459.742,2188408,7673796,0,22911952,71
1786142460.243,2188408,7673796,0,22902828,71
1786142460.744,2188408,7673796,0,22902768,71
1786142461.244,2188408,7673796,0,22908820,71
1786142461.745,2188408,7673796,0,22909444,71
1786142462.246,2188412,7673796,0,22905000,71
1786142462.747,2188480,7673796,0,22906976,71
1786142463.248,2188480,7673796,0,22906976,71
1786142463.750,2188480,7673796,0,22912412,71
1786142464.251,2188480,7673796,0,22917664,71
1786142464.752,2188480,7673796,0,22919984,71
1786142465.252,2188480,7673796,0,22892936,71
1786142465.753,2188544,7673796,0,22891516,71
1786142466.253,2188544,7673796,0,22891104,71
1786142466.754,2188544,7673796,0,22892836,71
1786142467.255,2188544,7673796,0,22917928,71
1786142467.758,2188544,7673796,0,22910452,71
1786142468.259,2188544,7673796,0,22910452,71
1786142468.760,2188544,7673796,0,22905028,71
1786142469.261,2188608,7673796,0,22907264,71
1786142469.762,2188608,7673796,0,22913500,71
1786142470.262,2188608,7673796,0,22896548,71
1786142470.763,2188608,7673796,0,22894900,71
1786142471.264,2188608,7673796,0,22894092,71
1786142471.767,2188608,7673796,0,22886540,71
1786142472.268,2188608,7673796,0,22875628,71
1786142472.769,2188672,7673796,0,22869696,71
1786142473.270,2188672,7673796,0,22876156,71
1786142473.770,2188672,7673796,0,22880400,71
1786142474.270,2188672,7673796,0,22874760,71
1786142474.771,2188672,7673796,0,22864792,71
1786142475.272,2188672,7673796,0,22864388,71
1786142475.773,2188672,7673796,0,22902072,71
1786142476.273,2188736,7673796,0,22873724,71
1786142476.774,2188736,7673796,0,22875556,71
1786142477.275,2188736,7673796,0,22874800,71
1786142477.777,2188736,7673796,0,22888728,71
1786142478.278,2188736,7673796,0,22871356,71
1786142478.778,2188736,7673796,0,22852332,71
1786142479.279,2188736,7673796,0,22853140,71
1786142479.780,2188800,7673796,0,22870728,71
1786142480.281,2188800,7673796,0,22851708,71
1786142480.781,2188800,7673796,0,22855276,71
1786142481.284,2188800,7673796,0,22855680,71
1786142481.785,2188800,7673796,0,22868132,71
1786142482.288,2188800,7673796,0,22853900,71
1786142482.788,2188800,7673796,0,22865220,71
1786142483.289,2188864,7673796,0,22864040,71
1786142483.790,2188864,7673796,0,22868484,71
1786142484.291,2188932,7673796,0,22872268,71
1786142484.792,2188932,7673796,0,22873712,71
1786142485.293,2188996,7673796,0,22874760,71
1786142485.794,2188996,7673796,0,22882384,71
1786142486.294,2189060,7673796,0,22882328,71
1786142486.798,2189124,7673796,0,22889100,71
1786142487.299,2189124,7673796,0,22889100,71
1786142487.799,2189188,7673796,0,22892912,71
1786142488.300,2189448,7673796,0,22892912,71
1786142488.800,2190024,7673796,0,22898220,71
1786142489.301,2190408,7673796,0,22898220,71
1786142489.802,2190792,7673796,0,22903068,71
1786142490.307,2191048,7673796,0,22876344,71
1786142490.807,2191304,7673796,0,22879812,71
1786142491.308,2191624,7673796,0,22880380,71
1786142491.808,2191816,7673796,0,22901104,71
1786142492.309,2192072,7673796,0,22902976,71
1786142492.809,2192328,7673796,0,22906736,71
1786142493.310,2192648,7673796,0,22906180,71
1786142493.812,2192904,7673796,0,22910172,71
1786142494.315,2193224,7673796,0,22910424,71
1786142494.815,2193484,7673796,0,22912568,71
1786142495.316,2193804,7673796,0,22892724,71
1786142495.817,2194064,7673796,0,22863596,71
1786142496.318,2194324,7673796,0,22863848,71
1786142496.820,2194580,7673796,0,22860048,71
1786142497.320,2194772,7673796,0,22844712,71
1786142497.822,2195092,7673796,0,22853680,71
1786142498.323,2195412,7673796,0,22854760,71
1786142498.824,2195668,7673796,0,22863492,71
1786142499.324,2195928,7673796,0,22862988,71
1786142499.825,2196184,7673796,0,22871760,71
1786142500.326,2196440,7673796,0,22850948,71
1786142500.827,2196760,7673796,0,22862540,71
1786142501.328,2197016,7673796,0,22862856,71
1786142501.829,2197272,7673796,0,22883324,71
1786142502.330,2197464,7673796,0,22885084,71
1786142502.831,2197720,7673796,0,22893200,71
1786142503.332,2197912,7673796,0,22891340,71
1786142503.833,2198168,7673796,0,22898492,71
1786142504.333,2198424,7673796,0,22897492,71
1786142504.834,2198680,7673796,0,22900472,71
1786142505.336,2198872,7673796,0,22893768,71
1786142505.837,2199128,7673796,0,22888504,71
1786142506.338,2199320,7673796,0,22896828,71
1786142506.838,2199512,7673796,0,22877568,71
1786142507.339,2199832,7673796,0,22875920,71
1786142507.839,2200088,7673796,0,22866812,71
1786142508.340,2200344,7673796,0,22866440,71
1786142508.841,2200600,7673796,0,22869196,71
1786142509.342,2200856,7673796,0,22869408,71
1786142509.843,2285488,7788620,0,22776144,71
1786142510.343,2285488,7788620,0,22743532,71
1786142510.844,2285488,7788620,0,22741492,71
1786142511.344,2285488,7788620,0,22742452,71
1786142511.845,2285572,7788620,0,22743424,71
1786142512.345,2288196,7788620,0,22756660,71
1786142512.846,2288440,7788620,0,22759372,71
1786142513.347,2288440,7788620,0,22758616,71
1786142513.848,2239152,7739332,0,22814116,71
1786142514.348,2547076,8093236,0,22503964,71
1786142514.849,2432444,7944964,0,22464336,71
1786142515.349,2432444,7944964,0,22458784,71
1786142515.850,2432444,7944964,0,22464520,71
1786142516.350,2701796,8240920,0,22334820,71
1786142516.851,3089212,8699540,0,21788740,71
1786142517.351,3114380,8732396,0,21786992,71
1786142517.852,3727656,9437508,0,21156112,71
1786142518.352,3727656,9437508,0,21156112,71
1786142518.853,4031872,9847592,0,20863488,71
1786142519.355,4180216,9994980,0,20437620,71
1786142519.855,4180216,9994980,0,20426800,71
1786142520.355,2973108,8535532,0,21621480,71
1786142520.856,2923884,8486244,0,21633092,71
1786142521.360,2923884,8486244,0,21633092,71
1786142521.861,2923884,8486244,0,21661564,71
1786142522.361,2923884,8486244,0,21691968,71
1786142522.862,2923884,8486244,0,21711256,71
1786142523.362,2923884,8486244,0,21712068,71
1786142523.863,2930708,8551780,0,21725016,71
1786142524.363,2930708,8551780,0,21725016,71
1786142524.864,2931032,8551780,0,21746900,71
1786142525.364,2931032,8551780,0,21740200,71
1786142525.864,2931032,8551780,0,21763252,71
1786142526.365,2931032,8551780,0,21780596,71
1786142526.865,2931032,8551780,0,21797564,71
1786142527.366,2931032,8551780,0,21797620,71
1786142527.866,2931032,8551780,0,21814352,71
1786142528.367,2931032,8551780,0,21814432,71
1786142528.867,2931032,8551780,0,21833092,71
1786142529.368,2931032,8551780,0,21834084,71
1786142529.868,2931032,8551780,0,21835544,71
1786142530.369,2931032,8551780,0,21835608,71
1786142530.869,2931032,8551780,0,21846092,71
1786142531.370,2931032,8551780,0,21846344,71
1786142531.871,2931032,8551780,0,21866540,71
1786142532.371,2931032,8551780,0,21869676,71
1786142532.871,2931032,8551780,0,21883876,71
1786142533.372,2931032,8551780,0,21882280,71
1786142533.873,2931032,8551780,0,21900472,71
1786142534.373,2931032,8551780,0,21901196,71
1786142534.873,2931032,8551780,0,21893092,71
1786142535.374,2931032,8551780,0,21906584,71
1786142535.874,2931032,8551780,0,21925200,71
1786142536.375,2931032,8551780,0,21945908,71
1786142536.875,2931032,8551780,0,21964020,71
1786142537.376,2931032,8551780,0,21963348,71
1786142537.876,2931032,8551780,0,21981860,71
1786142538.377,2931032,8551780,0,21982564,71
1786142538.877,2931032,8551780,0,22000080,71
1786142539.378,2931032,8551780,0,22002252,71
1786142539.878,2931032,8551780,0,22002732,71
1786142540.378,2931032,8551780,0,21980840,71
1786142540.879,2931032,8551780,0,22002156,71
1786142541.379,2931032,8551780,0,22011496,71
1786142541.879,2931032,8551780,0,22026036,71
1786142542.379,2931032,8551780,0,22025544,71
1786142542.880,2931032,8551780,0,22041484,71
1786142543.381,2931032,8551780,0,22042364,71
1786142543.881,2931032,8551780,0,22058348,71
1786142544.381,2931032,8551780,0,22053812,71
1786142544.882,2931032,8551780,0,22046316,71
