tool_type,diameter_mm,operation,material,fixture,status,error_text,rpm,feed_mm_min,stepover_mm,depth_per_pass_mm,support_arm,chipload_state,chipload_detail,power_state,power_peak_kw,power_available_kw,power_detail,deflection_state,deflection_peak_mm,deflection_detail,depth_state,depth_peak_mm,depth_cap_mm,depth_cap_factor,depth_detail,diagnostic_ids_after_sim,diagnostic_severities_after_sim,elapsed_s
EndMill,6.0000,DropCutter,hardwood,dome_46mm_on_base_z-8,ok,,15748.0000,3999.0000,0.1800,,VendorBacked,Unmodeled,SteadyStateSamplesNotPresent,Unmodeled,,,ArcEngagementNotCaptured,Unmodeled,,ArcEngagementNotCaptured,Within,2.1423,,,Reported,efficiency.very_fine_stepover;feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;load.chipload.unmodeled;load.power.unmodeled;load.deflection.unmodeled;load.depth.reported,Info;Info;Info;Info;Info;Info;Info,39.3
EndMill,6.0000,Adaptive3d,softwood,dome_46mm_on_base_z-8,ok,,11248.0000,4000.0000,0.9500,4.7540,VendorBacked,Within,,Within,0.0481,0.8000,,Within,0.0059,,Within,4.7540,9.0000,1.5000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.within;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,1.3
EndMill,6.0000,Adaptive3d,hardwood,dome_46mm_on_base_z-8,ok,,17997.0000,4000.0000,0.9420,4.7130,VendorBacked,Within,,Within,0.0781,0.8000,,Within,0.0076,,Within,4.7130,9.0000,1.5000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.within;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,1.3
BallNose,6.0000,Scallop,softwood,dome_46mm_on_base_z-8,ok,,17500.0000,1706.0000,,,VendorBacked,Within,,Within,0.0575,0.8000,,Within,0.0049,,Within,7.1960,,,Reported,feeds.long_tool_derate;load.chipload.within;load.power.within;load.deflection.within;load.depth.reported,Info;Info;Info;Info;Info,0.8
BallNose,6.0000,Scallop,hardwood,dome_46mm_on_base_z-8,ok,,17500.0000,1137.0000,,,VendorBacked,Within,,Within,0.0863,0.8000,,Within,0.0071,,Within,7.1960,,,Reported,feeds.long_tool_derate;load.chipload.within;load.power.within;load.deflection.within;load.depth.reported,Info;Info;Info;Info;Info,0.8
TaperedBallNose,6.0000,Scallop,softwood,dome_46mm_on_base_z-8,ok,,9387.0000,2763.0000,,,FamilyTransferred,Within,,Within,0.0689,0.8000,,Within,0.0020,,Within,7.0154,,,Reported,feeds.shank_too_large;feeds.long_tool_derate;load.chipload.within;load.power.within;load.deflection.within;load.depth.reported,Critical;Info;Info;Info;Info;Info,1.6
TaperedBallNose,6.0000,Scallop,hardwood,dome_46mm_on_base_z-8,ok,,9387.0000,2763.0000,,,FamilyTransferred,Within,,Within,0.1155,0.8000,,Within,0.0034,,Within,7.0154,,,Reported,feeds.shank_too_large;feeds.long_tool_derate;load.chipload.within;load.power.within;load.deflection.within;load.depth.reported,Critical;Info;Info;Info;Info;Info,1.5
BallNose,6.0000,DropCutter,softwood,dome_46mm_on_base_z-8,ok,,18000.0000,1440.0000,0.1500,,VendorBacked,Within,,Within,0.0070,0.8000,,Within,0.0011,,Within,1.4472,,,Reported,efficiency.very_fine_stepover;feeds.long_tool_derate;load.chipload.within;load.power.within;load.deflection.within;load.depth.reported,Info;Info;Info;Info;Info;Info,80.6
BallNose,6.0000,DropCutter,hardwood,dome_46mm_on_base_z-8,skipped,time budget of the subset passed,,,,,,,,,,,,,,,,,,,,,,
TaperedBallNose,6.0000,DropCutter,softwood,dome_46mm_on_base_z-8,skipped,time budget of the subset passed,,,,,,,,,,,,,,,,,,,,,,
TaperedBallNose,6.0000,DropCutter,hardwood,dome_46mm_on_base_z-8,skipped,time budget of the subset passed,,,,,,,,,,,,,,,,,,,,,,
