tool_type,diameter_mm,flutes,operation,material,status,refusal_text,rpm,feed_mm_min,plunge_mm_min,stepover_mm,depth_per_pass_mm,r_axial_depth_mm,r_radial_width_mm,r_chip_load_mm,force_n,power_kw,chipload_bounds_min_mm,chipload_bounds_max_mm,support_arm,support_detail,lut_observation_id,lut_row_pass_role,lut_is_extrapolated,lut_evidence_grade,lut_row_kind,lut_source_id,chipload_source,vendor_source,diagnostic_ids,diagnostic_severities,feeds_warnings,suggest_warnings,cap_family,cap_role,cap_factor,cap_mm
TaperedBallNose,6.0000,2,Zigzag,softwood,ok,,9387.0000,2978.0000,900.0000,1.5790,0.6000,4.2000,2.1000,0.1586,27.0040,0.0049,0.1322,0.1851,VendorBacked,,onsrud-softwood-77-100-1_4-pocket,Roughing,false,A,Exact,onsrud_soft_wood_cutting_data,"VendorLut { observation_id: ""onsrud-softwood-77-100-1_4-pocket"" }",onsrud-softwood-77-100-1_4-pocket,compat.ball_nose_on_flat_clearing;feeds.shank_too_large;feeds.long_tool_derate;feeds.aggressiveness_engagement,Hint;Critical;Info;Info,ShankTooLarge;LongToolDerate,RoughingDepthClampedToRigidity;EngagementReducedForAggressiveness,Pocket,Roughing,0.2000,0.7200
TaperedBallNose,6.0000,2,Zigzag,hardwood,ok,,9387.0000,2978.0000,702.0000,1.5790,0.6000,4.2000,2.1000,0.1586,54.0081,0.0099,0.1322,0.1851,VendorBacked,,onsrud-hardwood-77-100-1_4-pocket,Roughing,false,A,Exact,onsrud_hard_wood_cutting_data,"VendorLut { observation_id: ""onsrud-hardwood-77-100-1_4-pocket"" }",onsrud-hardwood-77-100-1_4-pocket,compat.ball_nose_on_flat_clearing;feeds.shank_too_large;feeds.long_tool_derate;feeds.aggressiveness_engagement,Hint;Critical;Info;Info,ShankTooLarge;LongToolDerate,RoughingDepthClampedToRigidity;EngagementReducedForAggressiveness,Pocket,Roughing,0.2000,0.7200
TaperedBallNose,6.0000,2,Zigzag,mdf,ok,,8000.0000,2538.0000,706.0000,1.5790,0.6000,4.2000,2.1000,0.1586,48.3149,0.0075,0.1322,0.1851,VendorBacked,,onsrud-mdf-77-100-1_4-pocket,Roughing,false,A,Exact,onsrud_mdf_cutting_data,"VendorLut { observation_id: ""onsrud-mdf-77-100-1_4-pocket"" }",onsrud-mdf-77-100-1_4-pocket,compat.ball_nose_on_flat_clearing;feeds.shank_too_large;feeds.long_tool_derate;feeds.aggressiveness_engagement,Hint;Critical;Info;Info,ShankTooLarge;LongToolDerate,RoughingDepthClampedToRigidity;EngagementReducedForAggressiveness,Pocket,Roughing,0.2000,0.7200
TaperedBallNose,6.0000,2,Zigzag,plywood_hardwood,ok,,8449.0000,2446.0000,682.0000,1.5790,0.6000,4.2000,2.1000,0.1448,18.9785,0.0032,0.1207,0.1690,VendorBacked,,onsrud-plywood-hardwood-77-100-1_4-pocket,Roughing,false,A,Exact,onsrud_hard_plywood_cutting_data,"VendorLut { observation_id: ""onsrud-plywood-hardwood-77-100-1_4-pocket"" }",onsrud-plywood-hardwood-77-100-1_4-pocket,compat.ball_nose_on_flat_clearing;feeds.shank_too_large;feeds.long_tool_derate;feeds.aggressiveness_engagement,Hint;Critical;Info;Info,ShankTooLarge;LongToolDerate,RoughingDepthClampedToRigidity;EngagementReducedForAggressiveness,Pocket,Roughing,0.2000,0.7200
TaperedBallNose,6.0000,2,Trace,softwood,ok,,9387.0000,1448.0000,900.0000,,0.3333,0.3600,0.1200,0.0771,1.1482,,,,FormulaOnly,"repo-derived chipload formula k0*D^p*(1/H)^q (machine::ChipLoadFormula, feeds::calculate step 2); exponents per CREDITS.md 'Chipload column convention and scaling laws'; k0 uncited (code comment 'Shapeoko empirical data' only)",,,,,,,FormulaFallback,,feeds.shank_too_large;feeds.long_tool_derate,Critical;Info,ShankTooLarge;LongToolDerate,AggressivenessNotApplied;CutGeometryFieldNotHeld,Trace,Finish,,
TaperedBallNose,6.0000,2,Trace,hardwood,refused,"Suggest has no basis for Trace with a tapered ball nose in hardwood: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,6.0000,2,Trace,mdf,refused,"Suggest has no basis for Trace with a tapered ball nose in MDF: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,6.0000,2,Trace,plywood_hardwood,refused,"Suggest has no basis for Trace with a tapered ball nose in hardwood plywood: No published figure backs the formula for a tapered ball-nose on adaptive, pocket, contour or trace passes: Onsrud 77-100 puts it below half.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,6.0000,2,Drill,softwood,refused,"Suggest has no basis for Drill with a tapered ball nose in softwood: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,6.0000,2,Drill,hardwood,refused,"Suggest has no basis for Drill with a tapered ball nose in hardwood: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,6.0000,2,Drill,mdf,refused,"Suggest has no basis for Drill with a tapered ball nose in MDF: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,6.0000,2,Drill,plywood_hardwood,refused,"Suggest has no basis for Drill with a tapered ball nose in hardwood plywood: No published wood figure exists for a plunge drill with a tapered ball-nose, and the drill multiplier 2.5 is unsourced.",,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Drill,Roughing,,
TaperedBallNose,6.0000,2,Chamfer,softwood,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,6.0000,2,Chamfer,hardwood,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,6.0000,2,Chamfer,mdf,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
TaperedBallNose,6.0000,2,Chamfer,plywood_hardwood,refused,Chamfer needs a V-bit tool; this tool is a tapered ball nose.,,,,,,,,,,,,,Refused,,,,,,,,,,,,,,Trace,Finish,,
